PHASID	Chr_ID	Start_Pos	End_Pos	Locus_Len	Lib_Num	Pvalue	Phas_Hit	Phase	Average_HitPos	Phas_Ratio	Abudance	Max_Region_Phase_Score	Note	Best_Region
PHAS21-191	Chr6	141331937	141332929	993	18	9.96E-10	19	11	8.85	0.92	34.15	11.19	Potential PHAS	Chr6:141332065-141332409
PHAS21-192	Chr6	141448294	141449145	852	10	3.12E-08	17	14	9.09	0.79	30.73	10.99	Potential PHAS	Chr6:141448303-141448769
PHAS21-193	Chr6	141551066	141551983	918	10	1.05E-08	17	14	10.46	0.9	18.43	11.31	Potential Repeat	Chr6:141551119-141551467
PHAS21-194	Chr6	141662461	141663409	949	13	5.62E-08	21	14	8.27	0.81	30.23	10.47	Potential PHAS	Chr6:141662503-141662969
PHAS21-195	Chr6	141902121	141902959	839	14	3.28E-09	22	1	8.32	0.85	36.99	10.88	Potential PHAS	Chr6:141902147-141902693
PHAS21-196	Chr6	142907893	142908118	226	1	0.000302496	5	3	2.47	0.96	253.12	11.11	Potential PHAS	Chr6:142907893-142908118
PHAS21-197	Chr6	151022405	151022795	391	12	7.94E-11	11	17	2.37	0.8	27.3	16.1	Confident PHAS	Chr6:151022407-151022711
PHAS21-198	Chr6	151646170	151646986	817	14	5.90E-08	14	4	4.28	0.91	262.86	23.04	Potential PHAS	Chr6:151646490-151646986
PHAS21-199	Chr6	151882426	151883202	777	19	1.08E-07	15	12	4.04	0.96	291.76	22.25	Potential PHAS	Chr6:151882556-151883202
PHAS21-200	Chr6	152067574	152069453	1880	43	0	49	10	6.26	0.78	178.11	22.72	Confident PHAS	Chr6:152067624-152069002
PHAS21-201	Chr6	152085726	152086733	1008	35	0	43	9	6.77	0.78	145.52	21.35	Confident PHAS	Chr6:152085851-152086710
PHAS21-202	Chr6	152157619	152158565	947	33	2.08E-11	35	3	6.79	0.77	125.82	18.9	Confident PHAS	Chr6:152157621-152158495
PHAS21-203	Chr6	152165290	152167247	1958	43	0	49	13	6.26	0.78	178.11	24.77	Confident PHAS	Chr6:152165809-152167207
PHAS21-204	Chr6	152237361	152239191	1831	32	2.54E-11	35	5	6.65	0.8	139.51	18.4	Confident PHAS	Chr6:152237754-152239168
PHAS21-205	Chr6	152264703	152266547	1845	37	1.65E-12	44	4	6.57	0.77	155.04	20.94	Confident PHAS	Chr6:152265604-152266544
PHAS21-206	Chr6	152410463	152410865	403	10	5.88E-07	11	7	8.95	0.89	25.89	12.82	Potential PHAS	Chr6:152410463-152410762
PHAS21-207	Chr6	153127380	153129767	2388	47	0	55	12	6.05	0.83	212.99	24.05	Confident PHAS	Chr6:153128252-153129658
PHAS21-208	Chr6	158129322	158129548	227	4	0.000279444	5	3	1.58	0.95	545.12	10.36	Potential PHAS	Chr6:158129322-158129527
PHAS21-209	Chr6	158211040	158211429	390	6	2.21E-05	8	18	2.2	0.96	603.65	10.63	Potential PHAS	Chr6:158211157-158211375
PHAS21-210	Chr6	160903856	160904535	680	38	1.85E-05	23	21	2.7	0.64	1381.74	17.34	Potential PHAS	Chr6:160903890-160904355
PHAS21-211	Chr6	160905726	160906354	629	46	1.55E-15	19	18	2.76	0.81	3075.03	20.72	Confident PHAS	Chr6:160905815-160906354
PHAS21-212	Chr6	160906685	160906881	197	5	2.96E-06	8	5	1.52	0.93	537.71	13.75	Potential PHAS	Chr6:160906685-160906806
PHAS21-213	Chr6	160934282	160934842	561	19	2.96E-14	17	21	4.49	0.95	718.57	22.8	Confident PHAS	Chr6:160934342-160934812
PHAS21-214	Chr6	160936821	160937164	344	22	4.33E-09	13	10	1.25	0.86	341.5	20.42	Potential PHAS	Chr6:160936868-160937164
PHAS21-215	Chr6	160939498	160940593	1096	9	1.08E-05	16	19	1.95	0.81	222.08	16.67	Potential PHAS	Chr6:160939626-160940593
PHAS21-216	Chr6	160970551	160972447	1897	77	4.41E-07	28	21	3.73	0.73	1539.52	18.14	Potential PHAS	Chr6:160970557-160971381
PHAS21-217	Chr6	160975220	160975679	460	70	5.59E-09	18	20	2.45	0.96	2442.96	19.46	Potential PHAS	Chr6:160975246-160975650
PHAS21-218	Chr6	161020599	161021236	638	70	1.17E-09	26	7	2.45	0.88	674.94	19	Potential PHAS	Chr6:161020645-161021153
PHAS21-219	Chr6	161024114	161024656	543	2	9.49E-06	7	2	6.71	0.55	20.23	10.23	Potential PHAS	Chr6:161024114-161024656
PHAS21-220	Chr7	10401780	10403102	1323	33	8.05E-10	20	19	7.12	0.86	73.69	13.98	Potential PHAS	Chr7:10402311-10403062
PHAS21-221	Chr7	43162441	43163460	1020	23	4.18E-06	12	19	14.76	0.88	89.98	12.21	Potential Repeat	Chr7:43162471-43163308
PHAS21-222	Chr7	43306204	43306723	520	35	7.67E-07	20	19	1	0.87	9649.1	18.13	Potential PHAS	Chr7:43306277-43306637
PHAS21-223	Chr7	62716566	62718688	2123	62	2.19E-10	48	14	4.37	0.76	1240.09	22.87	Potential PHAS	Chr7:62716629-62718535
PHAS21-224	Chr7	62794369	62796278	1910	62	4.74E-11	44	16	4.94	0.88	1135.81	23.36	Confident PHAS	Chr7:62794436-62795751
PHAS21-225	Chr7	67342591	67342765	175	3	4.45E-05	5	4	3.58	0.89	11.99	10.85	Potential PHAS	Chr7:67342591-67342763
PHAS21-226	Chr7	83235435	83235656	222	21	7.21E-06	12	18	7.06	0.97	561.58	10.56	Potential PHAS	Chr7:83235435-83235639
PHAS21-227	Chr7	83266916	83267228	313	19	8.58E-07	9	6	9.31	0.93	241.5	13.16	Potential PHAS	Chr7:83266919-83267187
PHAS21-228	Chr7	83818036	83819288	1253	20	1.40E-05	31	5	1.81	0.87	1580.76	19.63	Potential PHAS	Chr7:83818204-83818762
PHAS21-229	Chr7	84028036	84028415	380	20	1.90E-07	10	3	2.98	0.69	96.37	13.26	Potential PHAS	Chr7:84028036-84028356
PHAS21-230	Chr7	84029704	84030605	902	34	1.73E-07	22	14	5.97	0.85	1521.62	15.81	Potential PHAS	Chr7:84029811-84029948
PHAS21-231	Chr7	84082660	84083140	481	27	2.49E-07	11	7	4.47	0.88	147.18	12.39	Potential PHAS	Chr7:84082660-84082882
PHAS21-232	Chr7	84441116	84441493	378	23	1.97E-06	8	12	6.29	0.78	190.05	13.12	Potential PHAS	Chr7:84441116-84441387
PHAS21-233	Chr7	84505693	84506216	524	8	2.90E-09	10	16	1.89	0.76	53.68	12.92	Potential PHAS	Chr7:84505695-84505990
PHAS21-234	Chr7	84506444	84507328	885	55	6.60E-12	40	9	1.81	0.75	2345.54	17.71	Confident PHAS	Chr7:84506670-84506869
PHAS21-235	Chr7	93060654	93061538	885	35	9.55E-08	18	17	8.35	0.99	96.82	14.14	Potential PHAS	Chr7:93060654-93061538
PHAS21-236	Chr8	34997709	34998257	549	12	6.98E-06	14	9	1	0.55	108.73	10.27	Potential PHAS	Chr8:34997729-34998255
PHAS21-237	Chr8	34999102	34999406	305	22	1.71E-09	10	3	1	0.87	219.11	21.78	Potential PHAS	Chr8:34999104-34999356
PHAS21-238	Chr8	35142700	35143268	569	10	4.35E-05	13	7	10.15	0.77	164.54	12.74	Potential Repeat	Chr8:35142765-35143225
PHAS21-239	Chr8	35144521	35145386	866	23	6.23E-07	14	8	14.23	0.72	99.2	15.15	Potential Repeat	Chr8:35144526-35145144
PHAS21-240	Chr8	35375264	35375783	520	56	1.67E-08	15	10	2.53	0.96	2468.37	34.85	Potential PHAS	Chr8:35375376-35375703
PHAS21-241	Chr8	43577036	43577209	174	7	4.38E-07	8	7	1	0.75	34.15	10.64	Potential PHAS	Chr8:43577036-43577209
PHAS21-242	Chr8	96370898	96372412	1515	24	1.65E-06	14	17	2	0.65	132.77	10.39	Potential PHAS	Chr8:96371967-96372326
PHAS21-243	Chr8	96422445	96424566	2122	39	5.69E-08	54	1	1.66	0.92	565.84	19.32	Potential PHAS	Chr8:96423554-96424480
PHAS21-244	Chr8	108595510	108596129	620	6	5.11E-05	17	1	11.09	0.64	621.53	16.89	Potential Repeat	Chr8:108595510-108596125
PHAS21-245	Chr8	144127184	144127652	469	51	0	25	9	2.06	0.92	237.19	32.49	Confident PHAS	Chr8:144127319-144127629
PHAS21-246	Chr9	22057946	22058758	813	16	3.32E-08	15	15	3.46	0.8	90.4	13.65	Potential PHAS	Chr9:22058453-22058706
PHAS21-247	Chr9	23839264	23840766	1503	32	2.27E-05	29	14	3.72	0.96	218.07	13.8	Potential PHAS	Chr9:23839460-23840766
PHAS21-248	Chr9	23870265	23871916	1652	73	1.68E-13	57	1	2.74	0.81	1319.08	33.15	Confident PHAS	Chr9:23870783-23871895
PHAS21-249	Chr9	23886843	23887664	822	18	4.86E-07	8	20	4.34	0.98	216.67	14.97	Potential PHAS	Chr9:23887349-23887664
PHAS21-250	Chr9	23997492	23998926	1435	60	4.07E-08	23	13	3.9	0.93	965.7	20.87	Potential PHAS	Chr9:23997800-23998926
PHAS21-251	Chr9	24024737	24026285	1549	45	1.02E-08	32	5	3.41	0.82	681.09	26.57	Potential PHAS	Chr9:24025021-24026285
PHAS21-252	Chr9	24447622	24448152	531	6	1.38E-06	9	13	6.38	0.91	9.79	15.57	Potential PHAS	Chr9:24447622-24448152
PHAS21-253	Chr9	24734227	24735181	955	10	1.16E-08	14	20	6.52	0.61	27.67	14.77	Potential PHAS	Chr9:24734227-24734539
PHAS21-254	Chr9	34151444	34152118	675	68	1.51E-08	22	9	1.79	0.96	6505.5	30.96	Potential PHAS	Chr9:34151492-34151955
PHAS21-255	Chr9	34617744	34618380	637	62	0	33	3	1.66	0.95	15914.33	31.04	Confident PHAS	Chr9:34617815-34618274
PHAS21-256	Chr9	37975950	37976283	334	7	9.08E-05	11	16	14.58	0.8	180.9	13.19	Potential Repeat	Chr9:37975950-37976216
PHAS21-257	Chr9	42161949	42162893	945	12	2.47E-11	15	9	4.97	0.85	60.45	20.26	Confident PHAS	Chr9:42162355-42162893
PHAS21-258	Chr9	46287745	46288680	936	14	6.82E-08	12	18	7.72	0.98	26.6	16.56	Potential PHAS	Chr9:46287745-46288600
PHAS21-259	Chr9	46775108	46776121	1014	7	2.54E-08	23	9	5.12	0.85	83.72	21.02	Potential PHAS	Chr9:46775190-46776039
PHAS21-260	Chr9	46904130	46905157	1028	7	2.36E-05	16	16	5.71	0.81	44.55	17.04	Potential PHAS	Chr9:46904130-46905005
PHAS21-261	Chr9	49705436	49706069	634	3	5.54E-05	9	17	3.36	0.48	14.17	10.4	Potential PHAS	Chr9:49705436-49706069
PHAS21-262	Chr9	61279763	61279977	215	8	2.97E-05	5	3	8.13	1	1424.81	17.53	Potential PHAS	Chr9:61279764-61279931
PHAS21-263	Chr9	84819801	84820565	765	10	4.04E-10	16	16	8.06	0.88	26.94	26.59	Potential PHAS	Chr9:84819832-84820337
PHAS21-264	Chr9	121259433	121260384	952	21	2.16E-06	28	6	9.78	0.86	1341.63	19	Potential PHAS	Chr9:121259489-121260063
PHAS21-265	Chr9	148604739	148605408	670	9	3.93E-11	16	4	8.57	0.64	19.71	13.8	Confident PHAS	Chr9:148604739-148605300
PHAS21-266	Chr9	163825989	163826116	128	1	3.90E-05	7	16	4.97	0.7	32.83	12.09	Potential PHAS	Chr9:163825989-163826116
PHAS21-267	Contig1002	6653	7265	613	21	3.39E-09	17	16	9.99	0.95	346.62	17.89	Potential PHAS	Contig1002:6728-7148
PHAS21-268	Contig1018	177236	178006	771	15	6.52E-07	13	17	7.55	0.65	69.02	15.93	Potential PHAS	Contig1018:177525-177974
PHAS21-269	Contig1027	14973	15791	819	18	1.62E-09	12	13	11.79	0.83	12.94	10.41	Potential Repeat	Contig1027:14973-15454
PHAS21-270	Contig1143	36124	37604	1481	22	1.59E-11	20	17	1.86	0.97	172.62	29.41	Confident PHAS	Contig1143:37374-37604
PHAS21-271	Contig1143	397155	397365	211	1	6.61E-06	6	6	2.62	0.86	13.45	13	Potential PHAS	Contig1143:397155-397365
PHAS21-272	Contig1143	472555	474186	1632	22	9.63E-12	28	6	2.35	0.63	541.12	18.8	Confident PHAS	Contig1143:473550-474131
PHAS21-273	Contig1160	67406	67672	267	7	9.25E-05	8	13	12.95	0.68	25.45	13.13	Potential Repeat	Contig1160:67515-67633
PHAS21-274	Contig1191	325580	325965	386	49	1.06E-09	11	17	8.7	0.97	205.06	25.61	Potential PHAS	Contig1191:325600-325796
PHAS21-275	Contig1191	362276	362531	256	35	1.10E-08	9	8	7.89	0.89	34.71	13.36	Potential PHAS	Contig1191:362279-362531
PHAS21-276	Contig1231	27791	28470	680	17	2.57E-06	11	21	10.89	0.9	258.8	14.61	Potential Repeat	Contig1231:27791-28470
PHAS21-277	Contig1242	142784	144777	1994	14	2.90E-08	20	6	9.46	0.83	41.09	18.49	Potential PHAS	Contig1242:144401-144777
PHAS21-278	Contig1265	594783	596239	1457	50	7.30E-08	22	19	7.83	0.91	103.37	14.14	Potential PHAS	Contig1265:594854-595680
PHAS21-279	Contig1277	52447	52819	373	7	2.43E-08	11	13	8.9	0.91	27.91	12.3	Potential PHAS	Contig1277:52470-52660
PHAS21-280	Contig1277	83765	85257	1493	22	2.27E-09	25	2	5.55	0.92	659.97	21.53	Potential PHAS	Contig1277:83795-85257
PHAS21-281	Contig1277	293460	294084	625	10	3.37E-07	14	9	6.37	0.81	54.81	12.14	Potential PHAS	Contig1277:293544-294084
PHAS21-282	Contig1277	362068	363707	1640	25	4.74E-07	33	8	5.38	0.83	228.79	26.58	Potential PHAS	Contig1277:362068-363707
PHAS21-283	Contig147	957942	958665	724	13	9.51E-07	16	15	6.44	0.74	61.2	11.73	Potential PHAS	Contig147:958298-958659
PHAS21-284	Contig147	982884	983686	803	43	3.63E-10	28	7	6.2	0.87	326.98	35.11	Potential PHAS	Contig147:982887-983686
PHAS21-285	Contig147	1052460	1053018	559	4	4.98E-05	9	2	8.59	0.85	19.27	19.25	Potential PHAS	Contig147:1052460-1053018
PHAS21-286	Contig165	293670	294212	543	15	1.16E-06	13	16	9.43	0.76	30.65	10.18	Potential PHAS	Contig165:293706-294163
PHAS21-287	Contig171	235407	235950	544	74	4.89E-12	22	10	1.02	0.92	1784.76	26.05	Confident PHAS	Contig171:235520-235858
PHAS21-288	Contig191	7788	8461	674	27	1.39E-06	14	19	7.85	0.88	179.63	14.89	Potential PHAS	Contig191:8004-8217
PHAS21-289	Contig28	82033	82629	597	38	5.35E-12	18	21	7.99	0.95	114.99	23.29	Confident PHAS	Contig28:82193-82593
PHAS21-290	Contig280	851827	852491	665	51	3.30E-09	18	7	3.42	0.84	472.27	19.05	Potential PHAS	Contig280:851830-852397
PHAS21-291	Contig280	853998	855985	1988	63	4.51E-12	33	15	1.73	0.83	3721.29	27.78	Confident PHAS	Contig280:854000-854337
PHAS21-292	Contig280	943426	943879	454	62	7.99E-10	16	4	5.9	0.89	1317.85	17.37	Potential PHAS	Contig280:943539-943752
PHAS21-293	Contig280	944959	947203	2245	70	5.01E-07	38	10	4.15	0.58	2187.67	17.02	Potential PHAS	Contig280:945101-945891
PHAS21-294	Contig280	962714	962969	256	15	8.09E-06	10	14	3.65	0.86	113.08	11.83	Potential PHAS	Contig280:962777-962934
PHAS21-295	Contig280	1221703	1221935	233	14	0.000120575	12	10	7.88	0.44	452.14	11.27	Potential PHAS	Contig280:1221726-1221850
PHAS21-296	Contig280	1225616	1225995	380	14	4.24E-05	18	15	7.21	0.85	8780.46	22.33	Potential PHAS	Contig280:1225740-1225989
PHAS21-297	Contig280	1256724	1257686	963	25	4.29E-06	9	4	3.41	0.83	70.39	12.2	Potential PHAS	Contig280:1256724-1256978
PHAS21-298	Contig280	1262399	1263313	915	55	1.48E-11	43	17	2.35	0.79	2838.49	26.9	Confident PHAS	Contig280:1262568-1262878
PHAS21-299	Contig280	1266702	1268049	1348	56	0	36	9	2.45	0.9	7027.58	24.84	Confident PHAS	Contig280:1266727-1266985
PHAS21-300	Contig348	134767	135527	761	7	3.60E-05	11	12	9.06	0.55	23.13	14.96	Potential PHAS	Contig348:134871-135437
PHAS21-301	Contig378	112458	112916	459	18	3.26E-05	14	16	14.69	0.88	182.55	13.47	Potential Repeat	Contig378:112461-112914
PHAS21-302	Contig378	114347	114733	387	8	0.000618467	9	17	13.35	0.89	146.48	10.2	Potential Repeat	Contig378:114347-114727
PHAS21-303	Contig378	118512	118998	487	10	9.25E-05	11	8	13.85	0.88	161.14	13.13	Potential Repeat	Contig378:118633-118828
PHAS21-304	Contig410	637884	638319	436	1	0.000925682	11	7	13.46	0.55	82.55	12.47	Potential Repeat	Contig410:637884-638319
PHAS21-305	Contig44	171654	172320	667	20	3.62E-05	19	15	13.59	0.93	236.79	16.51	Potential Repeat	Contig44:171657-172320
PHAS21-306	Contig44	183449	184380	932	20	3.77E-05	19	11	13.39	0.93	236.11	16.32	Potential Repeat	Contig44:183771-184377
PHAS21-307	Contig44	194614	195610	997	20	1.72E-05	19	12	13.33	0.94	271.59	16.32	Potential Repeat	Contig44:195029-195279
PHAS21-308	Contig449	119104	119933	830	14	2.17E-11	19	16	7.42	0.85	62.49	19.98	Confident PHAS	Contig449:119106-119735
PHAS21-309	Contig516	371944	373132	1189	48	0	30	16	4.2	0.92	255.65	26.76	Confident PHAS	Contig516:372214-373125
PHAS21-310	Contig566	181327	181998	672	40	1.55E-14	26	10	7.61	0.82	175.67	24.79	Confident PHAS	Contig566:181333-181876
PHAS21-311	Contig566	556860	557613	754	50	4.95E-10	21	1	6.52	0.89	806.89	41.25	Potential PHAS	Contig566:556983-557450
PHAS21-312	Contig566	560800	562139	1340	15	3.80E-05	24	18	8.12	0.75	391.52	15.97	Potential PHAS	Contig566:561093-561225
PHAS21-313	Contig566	624463	625131	669	38	2.56E-11	22	21	8.37	0.89	394.19	33.63	Confident PHAS	Contig566:624566-625131
PHAS21-314	Contig581	369455	369752	298	18	2.24E-08	10	21	8.98	0.97	144.84	17.59	Potential PHAS	Contig581:369482-369727
PHAS21-315	Contig581	446676	446856	181	2	5.02E-06	7	17	11.68	0.89	4.62	14.73	Potential Repeat	Contig581:446676-446856
PHAS21-316	Contig584	109231	109415	185	7	5.40E-06	7	8	12.91	0.94	24.5	13.13	Potential Repeat	Contig584:109268-109415
PHAS21-317	Contig593	65201	66176	976	42	0	48	1	1.37	0.93	4314.47	33.17	Confident PHAS	Contig593:65212-66089
PHAS21-318	Contig593	148237	149099	863	15	1.37E-09	17	20	2.36	0.8	152.88	19.25	Potential PHAS	Contig593:148255-149099
PHAS21-319	Contig6	645214	645480	267	11	3.18E-05	8	4	8.12	0.96	62.74	13.28	Potential PHAS	Contig6:645223-645388
PHAS21-320	Contig6	657006	657212	207	8	0.000127065	8	15	5.46	0.95	1315.23	13.59	Potential PHAS	Contig6:657006-657192
PHAS21-321	Contig649	351015	351483	469	52	0	24	4	2.05	0.93	253.26	32.49	Confident PHAS	Contig649:351122-351460
PHAS21-322	Contig711	43158	46171	3014	27	4.86E-14	48	14	5.68	0.93	443.07	24.73	Confident PHAS	Contig711:45874-46127
PHAS21-323	Contig725	84505	85099	595	14	7.20E-09	13	5	4.03	0.69	116.29	15.99	Potential PHAS	Contig725:84610-85072
PHAS21-324	Contig772	83951	84335	385	37	8.13E-09	10	6	2.03	0.97	196.66	16.29	Potential PHAS	Contig772:84045-84216
PHAS21-325	Contig836	50688	51235	548	25	2.78E-07	13	13	10.57	0.94	359.97	18.92	Potential Repeat	Contig836:50688-51234
PHAS21-326	Contig836	129232	129779	548	28	6.99E-11	13	17	10.96	0.91	254.76	13.1	Potential Repeat	Contig836:129232-129648
PHAS21-327	Contig869	202584	202860	277	4	7.74E-06	7	21	1.97	0.62	9.06	10.31	Potential PHAS	Contig869:202584-202860
PHAS21-328	Contig917	72901	73540	640	8	1.54E-06	7	1	12	0.88	55.68	11.77	Potential Repeat	Contig917:73222-73477
PHAS21-329	Contig980	48513	48820	308	9	1.54E-09	9	7	2.54	0.87	35.73	20.94	Potential PHAS	Contig980:48573-48754
PHAS21-330	Contig980	122353	122618	266	6	2.05E-06	7	2	2.71	0.8	60.15	12.81	Potential PHAS	Contig980:122425-122618
PHAS21-331	Contig980	372025	372514	490	11	4.21E-05	11	16	3.07	0.87	249	10.39	Potential PHAS	Contig980:372136-372379
PHAS21-332	Contig980	437639	438308	670	24	3.58E-06	13	21	8.16	0.83	179.63	14.89	Potential PHAS	Contig980:437852-438068
PHAS21-333	Contig980	505668	506421	754	13	1.02E-05	15	10	5.15	0.69	588.42	12.04	Potential PHAS	Contig980:505668-506421
PHAS21-334	Contig980	807349	808853	1505	66	7.66E-15	45	9	6.79	0.86	2202.89	17.81	Confident PHAS	Contig980:807479-808717
PHAS21-335	Contig980	809428	809819	392	14	2.13E-06	11	9	3.02	0.66	120.62	11.98	Potential PHAS	Contig980:809516-809744
PHAS21-336	Contig980	812827	813280	454	23	1.05E-08	12	8	3.35	1	76.61	20.42	Potential PHAS	Contig980:812827-813234
